address,district,floorArea,landmark,name,price
西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,青羊,unknown,外金沙,海亮樾金沙,17000
新成华大道三段与东华一路交汇口,成华,unknown,理工大,中国铁建广场,12800
东御街88号,锦江,130,盐市口,星汇广场,26000
北星大道与大天路交汇处(十字路口出城方向右侧）,新都,unknown,大丰,城北优品道,20000
天府大道北段1199号（高新国际广场旁）,高新,620,金融城,银泰中心,85000
麓山大道二段（新元素奥迪旗舰店旁）,天府新区,116,麓山,中德麓府,10900
合作路89号,高新西,unknown,高新西,龙湖时代天街,28000
天府大道南段2618号,天府新区,134,锦江生态带,恒大天府半岛,12380
华阳街道府河路与南湖路交汇处,天府新区,67,南湖,北京街,13800
交子大道998号,高新,46,金融城,润富国际花园,24500
天府大道南段海昌南路99号,天府新区,326,海洋公园,新鸿基悦城,18000
益州大道中段599号,高新,60,新会展,航天城上城,28000
大面镇西干道青台山路（龙城一号8号门对面）,龙泉驿,60,大面,泰华锦城,9200
中环路锦绣大道段与嘉陵江路交叉口东南50米,成华,49,东客站,蓝润东悦荟,13500
晋原镇大邑县西街95号（原九龙超市旁）,大邑,109,大邑,大邑惠山公馆一期,15000
新繁镇滨江西路北侧,新都,127,新都城区,世玺,6900
阳光大道2号,龙泉驿,453,阳光城,成龙1号,16000
大面街道金桉路1号,龙泉驿,163,大面,百悦城plus,12000
武侯大道文昌段与新机场路的交汇处（中天物流园旁）,武侯,unknown,簇桥,时代锦绣,19000
华府大道一段(欧尚超市对面）,天府新区,214,华阳,海伦印象,14000
白衣上街177号,双流,57,蛟龙港,优品时代三期,10500
龙华路东侧三盛都会城,龙泉驿,52,东山,三盛都会城,4000
牧华路一段9号,双流,607,牧马山,牧马山牧山湖蔚蓝卡地亚,16000
三星镇学府大道279号,金堂,132,金堂,星岛星时区,7200
普兴镇骑龙村5组,新津,108,新津,恒大天府城邦,9310
双成五路66号,成华,45,万象城,观城,17000
青城山大三路2号,都江堰,53,都江堰,龙湖小院青城,28302
剑南大道中段锦城南府,高新,60,大源,锦城南府猫先生,19000
天府三街1599号（天府三街与南华路交汇处）,高新,45,大源,大源欢乐颂,19000
红光镇红光路北一段299号,郫都,88,红光,铂悦郡,9500
凤凰大道二段699号,青白江,120,青白江,公园世家,7700
栖凤街53号,青白江,118,青白江,瑞居海布斯卡,7450
凤翔大道1266号,青白江,82,青白江,蝴蝶洲,7650
天府三街855号,高新,unknown,大源,锦城南府猫先生,40000
温泉大道二段恒大未来城,温江,116,光华大道沿线,恒大未来城,12000
光华大道东4路78号,青羊,unknown,万家湾,东原时光道,40000
成双大道中段鞋都南二路139号,武侯,unknown,簇桥,鞋都风尚中心,25000
大面街道金桉路1号,龙泉驿,unknown,大面,百悦城plus,25000
金科西路58号,金牛,unknown,国宾,东原亲亲里,50000
益州大道中段699号（天府一街与天府二街之间）,高新,40,新会展,香月湖,28000
邓双镇芝芝路888号,新津,912,新津,美好庄园,15000
金彭中路355号,彭州,100,彭州,锦绣尚城,6000
中和大道二段69号,高新,92,中和,红树湾,20000
西河镇成洛大道（西南食品城旁）,龙泉驿,100,十陵,招商依云上城,8500
新繁镇列维士路369号（龙桥家具园区）,新都,148,新都城区,香江紫钻,5000
街子古镇金鱼街1号（青城神韵一期旁）,崇州,59,崇州,青城神韵二期,10000
双楠大道中段888号（双楠大道与星空路交汇处）,双流,43,蛟龙港,汇都商贸城,8500
凤凰大道二段765号,青白江,157,青白江,嘉合凤凰岛,9300
凤凰西六路28号,青白江,100,青白江,瀚城国际,7250
观东二街和应龙南二路交叉口,高新,50,远大,华润时光里,13000
弥牟镇仁寿路199号,青白江,unknown,青白江,佳飞国际建材家居市场,11000
金科苑东街与金科苑南街交叉口西100米,金牛,unknown,高家庄,华宇西城雅郡,44000
郫筒镇梨园路一段708号,郫都,unknown,郫县城区,中冶中央公园,25000
二仙桥北路3号,成华,unknown,理工大,交大归谷建设派,50000
成龙大道二段（川师成龙校区旁）,龙泉驿,100,大面,凯德卓锦万黛,8700
羊马镇崇阳大道2199号(金马湖大桥旁),崇州,114,崇州,嘉裕第六洲,5980
凤凰大道三段8号（凤凰湖公园正面对面）,青白江,110,青白江,誉府仕家,8500
三环成金青大道狮子湖生态区入口,新都,129,保利公园,保利湖心岛,11000
迎晖路99号,成华,48,万年场,中环壹号大厦,17500
梓州大道4333号,高新,120,远大,长冶南阳御龙府,10170
318国道与拱辰路交汇处,邛崃,87,邛崃,鑫海天城,11000
成洛大道与汽贸大道交汇处（西河镇汽贸大道68号）,龙泉驿,90,十陵,慧生时代广场,5300
兴乐北路600号,新都,169,新都城区,富豪公馆,9700
牧马山大件路1089号,双流,178,牧马山,华新锦绣尚郡,13500
四川省成都市温江区白鹭路469号附8号,温江,98,国色天乡,鹭湖宫13区,8000
永顺路71号,武侯,unknown,红牌楼,蓝光雍锦世家,19500
致和镇西河东路555号,彭州,120,彭州,天立世纪华府,8200
光华南二路(树德中学对面),青羊,135,万家湾,光华壹号,12500
锦江西路鑫苑·鑫都汇南侧,天府新区,189,南湖,德商御府天骄,18000
大丰街道甫家一路289号,新都,91,大丰,家益凤凰富居,7500
二仙桥东路（加油站旁）,成华,47,东郊记忆,上寓,12000
